YEAR,temp_above_90,humidity_above_90,humidity_below_10,U_Wet-Hot,U_Dry-Hot,Name,,YEAR2,temp_above_90,humidity_above_90,humidity_below_10,R_Wet-Hot,R_Dry-Hot,Name2
2007,31,9,24,4,3,h1_2,,2007,30,9,28,3,3,h1_2
2008,16,12,10,2,0,h1_2,,2008,16,10,11,1,0,h1_2
2009,16,4,26,0,2,h1_2,,2009,16,4,26,0,3,h1_2
2010,21,28,11,9,0,h1_2,,2010,22,28,11,9,0,h1_2
2011,14,19,9,6,0,h1_2,,2011,14,18,8,6,0,h1_2
2012,17,17,11,4,0,h1_2,,2012,17,16,11,4,0,h1_2
2013,12,19,2,4,0,h1_2,,2013,13,18,2,5,0,h1_2
2014,15,23,11,8,0,h1_2,,2014,15,23,10,8,0,h1_2
2015,18,12,8,3,0,h1_2,,2015,17,11,8,3,0,h1_2
2016,13,28,6,7,0,h1_2,,2016,13,25,6,7,0,h1_2
2017,23,22,19,10,0,h1_2,,2017,24,21,21,9,0,h1_2
2018,11,26,9,7,0,h1_2,,2018,12,25,10,6,0,h1_2
2019,17,26,8,10,0,h1_2,,2019,17,24,8,10,0,h1_2
2020,11,24,1,5,0,h1_2,,2020,12,22,1,5,0,h1_2
2021,19,36,3,14,0,h1_2,,2021,18,39,3,14,0,h1_2
2022,14,32,11,9,0,h1_2,,2022,13,28,11,8,0,h1_2
1981,6,8,26,2,0,h101,,1981,6,5,22,2,0,h101
1982,5,14,16,2,0,h101,,1982,6,16,16,2,0,h101
1983,17,20,6,6,0,h101,,1983,15,21,6,7,0,h101
1984,3,6,22,1,0,h101,,1984,3,6,21,1,0,h101
1985,2,7,21,0,0,h101,,1985,2,8,21,0,0,h101
1986,12,13,20,4,0,h101,,1986,12,12,19,4,1,h101
1987,18,14,16,6,0,h101,,1987,17,17,16,7,0,h101
1988,19,24,7,7,0,h101,,1988,15,25,7,7,0,h101
1989,9,18,19,4,0,h101,,1989,9,15,17,4,0,h101
1990,16,8,16,2,1,h101,,1990,17,9,15,2,1,h101
1991,22,12,11,4,0,h101,,1991,22,12,12,6,0,h101
1992,13,8,24,1,0,h101,,1992,11,9,23,0,0,h101
1993,6,26,12,4,0,h101,,1993,4,19,13,2,0,h101
1994,8,7,10,2,0,h101,,1994,8,10,8,3,0,h101
1995,11,15,21,5,0,h101,,1995,13,15,25,7,0,h101
1996,11,12,10,3,0,h101,,1996,11,9,10,3,0,h101
1997,7,14,22,3,0,h101,,1997,5,16,21,1,0,h101
1998,34,24,9,11,0,h101,,1998,33,29,10,11,0,h101
1999,6,17,12,1,0,h101,,1999,8,15,10,1,0,h101
2000,19,13,25,6,0,h101,,2000,17,13,23,4,0,h101
2001,11,7,8,4,0,h101,,2001,9,9,6,3,0,h101
2002,18,13,11,3,0,h101,,2002,20,12,12,3,0,h101
2003,13,14,8,3,0,h101,,2003,13,12,11,3,0,h101
2004,20,18,25,7,0,h101,,2004,25,18,28,9,1,h101
2005,20,16,10,7,0,h101,,2005,20,15,10,7,0,h101
2006,22,17,18,8,0,h101,,2006,20,20,20,9,1,h101
2007,29,22,10,13,1,h101,,2007,31,19,11,12,2,h101
2008,17,10,14,4,0,h101,,2008,17,14,14,5,0,h101
2009,31,22,9,10,0,h101,,2009,34,25,9,12,0,h101
2010,26,16,9,9,1,h101,,2010,27,18,9,7,0,h101
2011,28,11,20,4,1,h101,,2011,30,8,22,3,2,h101
2012,15,15,18,8,2,h101,,2012,15,18,20,8,1,h101
2013,20,21,14,8,0,h101,,2013,17,18,11,5,0,h101
2014,38,54,3,27,0,h101,,2014,39,58,3,26,0,h101
2015,42,34,10,23,1,h101,,2015,40,37,10,24,1,h101
2016,45,37,3,23,0,h101,,2016,45,38,3,22,0,h101
2017,36,46,3,20,0,h101,,2017,37,41,2,20,0,h101
2018,34,20,10,4,0,h101,,2018,37,23,9,3,1,h101
2019,45,47,12,33,0,h101,,2019,40,51,11,31,0,h101
2020,51,35,0,14,0,h101,,2020,49,39,1,13,0,h101
2021,54,59,4,29,0,h101,,2021,54,58,3,29,0,h101
2022,42,28,15,12,1,h101,,2022,41,29,14,13,2,h101
1981,7,7,25,2,0,h102,,1981,7,7,23,2,0,h102
1982,5,15,16,2,0,h102,,1982,5,14,17,1,0,h102
1983,18,21,8,5,0,h102,,1983,14,23,7,4,0,h102
1984,3,7,20,1,0,h102,,1984,3,7,18,1,0,h102
1985,3,7,23,0,0,h102,,1985,3,6,20,0,0,h102
1986,12,11,20,3,2,h102,,1986,12,13,24,3,2,h102
1987,16,14,15,6,0,h102,,1987,15,17,15,5,0,h102
1988,18,22,8,7,0,h102,,1988,16,23,5,9,0,h102
1989,10,16,17,4,0,h102,,1989,12,14,17,5,0,h102
1990,16,8,16,0,1,h102,,1990,16,8,16,1,1,h102
1991,20,12,15,5,0,h102,,1991,19,11,13,5,0,h102
1992,11,8,25,0,1,h102,,1992,11,9,25,0,2,h102
1993,4,21,12,2,0,h102,,1993,3,15,14,2,0,h102
1994,8,10,7,3,0,h102,,1994,6,12,7,2,0,h102
1995,16,15,23,7,0,h102,,1995,19,16,20,8,0,h102
1996,13,9,8,3,0,h102,,1996,12,9,8,3,0,h102
1997,6,18,20,2,0,h102,,1997,6,15,18,2,0,h102
1998,31,28,11,11,0,h102,,1998,27,31,10,9,0,h102
1999,7,18,10,1,0,h102,,1999,9,20,9,2,0,h102
2000,19,15,23,5,0,h102,,2000,16,15,24,5,1,h102
2001,10,12,9,3,0,h102,,2001,8,10,4,2,0,h102
2002,18,14,13,1,0,h102,,2002,21,10,12,1,0,h102
2003,12,12,9,2,0,h102,,2003,12,12,11,2,0,h102
2004,23,14,28,3,1,h102,,2004,27,14,30,5,1,h102
2005,22,15,8,7,0,h102,,2005,20,14,13,6,2,h102
2006,18,19,19,7,1,h102,,2006,18,19,20,6,1,h102
2007,34,19,11,10,2,h102,,2007,32,18,12,7,2,h102
2008,17,13,12,5,0,h102,,2008,17,15,14,6,0,h102
2009,33,24,10,12,0,h102,,2009,33,24,10,11,0,h102
2010,27,16,9,8,0,h102,,2010,25,19,8,7,0,h102
2011,30,8,20,2,2,h102,,2011,28,11,21,2,2,h102
2012,16,18,17,7,1,h102,,2012,16,15,19,6,2,h102
2013,18,19,11,5,0,h102,,2013,18,21,9,7,0,h102
2014,37,59,3,24,0,h102,,2014,39,63,4,24,1,h102
2015,38,35,11,22,2,h102,,2015,34,35,12,22,1,h102
2016,42,38,3,22,0,h102,,2016,42,37,4,19,0,h102
2017,38,39,1,21,0,h102,,2017,37,40,2,20,0,h102
2018,34,24,8,5,0,h102,,2018,34,23,7,3,0,h102
2019,36,52,10,28,0,h102,,2019,37,56,10,29,0,h102
2020,46,37,1,12,0,h102,,2020,47,37,0,11,0,h102
2021,54,56,2,28,0,h102,,2021,60,63,2,32,0,h102
2022,39,30,13,13,0,h102,,2022,38,28,14,14,1,h102
1981,3,6,21,1,0,h103,,1981,9,8,25,2,0,h103
1982,5,12,16,2,0,h103,,1982,5,14,15,2,0,h103
1983,16,21,5,5,0,h103,,1983,16,23,7,7,0,h103
1984,4,7,21,1,0,h103,,1984,5,6,19,1,0,h103
1985,3,8,24,0,0,h103,,1985,3,7,20,0,0,h103
1986,12,9,20,3,2,h103,,1986,12,11,22,4,3,h103
1987,12,17,14,9,0,h103,,1987,13,15,14,8,0,h103
1988,15,23,9,7,0,h103,,1988,15,23,8,8,0,h103
1989,13,14,15,4,0,h103,,1989,12,15,14,5,0,h103
1990,17,12,21,2,3,h103,,1990,17,10,20,2,3,h103
1991,22,14,16,5,0,h103,,1991,22,13,14,5,0,h103
1992,11,8,23,1,0,h103,,1992,12,7,24,1,1,h103
1993,5,16,13,2,0,h103,,1993,4,14,11,2,0,h103
1994,9,13,9,6,0,h103,,1994,8,10,8,3,0,h103
1995,19,20,22,5,0,h103,,1995,17,19,18,7,0,h103
1996,13,10,11,3,0,h103,,1996,13,12,9,3,0,h103
1997,5,14,18,1,0,h103,,1997,6,13,18,2,0,h103
1998,31,26,11,10,0,h103,,1998,28,33,9,12,0,h103
1999,6,16,11,1,0,h103,,1999,7,17,11,1,0,h103
2000,16,14,21,6,0,h103,,2000,17,15,22,7,0,h103
2001,10,10,10,3,0,h103,,2001,12,11,12,3,0,h103
2002,19,9,13,2,0,h103,,2002,15,12,13,3,0,h103
2003,10,13,6,2,0,h103,,2003,11,12,8,3,0,h103
2004,20,16,25,4,0,h103,,2004,21,17,24,5,0,h103
2005,23,12,12,9,1,h103,,2005,22,12,10,8,1,h103
2006,20,21,19,9,1,h103,,2006,18,21,18,6,1,h103
2007,32,21,11,10,0,h103,,2007,34,20,14,8,1,h103
2008,18,15,13,6,0,h103,,2008,18,15,13,6,0,h103
2009,34,24,9,11,0,h103,,2009,35,21,10,9,0,h103
2010,24,22,12,8,1,h103,,2010,22,18,12,7,2,h103
2011,38,9,21,3,2,h103,,2011,31,9,23,2,2,h103
2012,19,21,14,7,0,h103,,2012,18,18,16,5,1,h103
2013,18,20,13,5,0,h103,,2013,19,18,11,6,0,h103
2014,37,53,3,21,1,h103,,2014,40,56,3,23,1,h103
2015,33,32,11,16,0,h103,,2015,31,33,14,16,3,h103
2016,44,34,3,23,0,h103,,2016,43,33,4,20,0,h103
2017,37,45,2,21,0,h103,,2017,32,41,2,19,0,h103
2018,31,26,6,9,1,h103,,2018,32,25,5,9,0,h103
2019,36,49,12,26,0,h103,,2019,35,51,11,28,0,h103
2020,48,31,1,15,0,h103,,2020,47,35,0,14,0,h103
2021,50,55,4,28,0,h103,,2021,59,57,3,33,0,h103
2022,36,29,13,15,0,h103,,2022,37,27,13,11,0,h103
1981,5,11,18,0,0,h2,,1981,5,12,16,0,0,h2
1982,2,6,14,0,0,h2,,1982,3,7,15,0,0,h2
1983,29,16,11,4,1,h2,,1983,37,21,11,6,2,h2
1984,0,4,23,0,0,h2,,1984,1,5,24,0,0,h2
1985,2,6,26,1,0,h2,,1985,3,4,26,0,0,h2
1986,10,23,14,5,0,h2,,1986,10,15,13,2,0,h2
1987,21,30,8,11,0,h2,,1987,23,31,10,14,0,h2
1988,21,20,22,5,0,h2,,1988,19,20,19,6,0,h2
1989,9,15,16,2,1,h2,,1989,12,13,18,2,0,h2
1990,10,20,11,6,0,h2,,1990,10,20,11,5,0,h2
1991,19,6,21,2,3,h2,,1991,16,7,20,1,0,h2
1992,13,21,10,7,0,h2,,1992,14,19,9,4,0,h2
1993,24,17,9,3,2,h2,,1993,31,14,6,6,1,h2
1994,9,11,13,0,0,h2,,1994,13,9,13,0,0,h2
1995,8,21,7,3,0,h2,,1995,8,20,9,4,0,h2
1996,14,3,22,2,1,h2,,1996,14,3,23,2,2,h2
1997,4,11,15,1,0,h2,,1997,6,12,15,1,0,h2
1998,50,26,6,13,0,h2,,1998,45,30,7,13,0,h2
1999,5,8,14,1,0,h2,,1999,1,6,15,0,0,h2
2000,2,5,17,0,0,h2,,2000,2,6,17,1,0,h2
2001,12,11,10,2,0,h2,,2001,10,11,10,2,0,h2
2002,6,10,17,0,0,h2,,2002,5,12,16,1,0,h2
2003,28,19,19,7,4,h2,,2003,29,16,20,7,4,h2
2004,13,11,32,2,2,h2,,2004,10,8,26,0,3,h2
2005,22,13,9,4,0,h2,,2005,30,10,14,3,2,h2
2006,18,9,23,3,0,h2,,2006,15,9,20,3,1,h2
2007,17,14,15,7,0,h2,,2007,17,13,16,2,0,h2
2008,14,11,12,6,0,h2,,2008,11,9,11,6,0,h2
2009,12,29,15,8,0,h2,,2009,11,34,13,8,0,h2
2010,41,43,7,19,2,h2,,2010,40,44,6,17,2,h2
2011,12,16,24,2,0,h2,,2011,16,18,25,4,1,h2
2012,12,30,18,8,0,h2,,2012,12,24,13,6,0,h2
2013,16,23,11,11,0,h2,,2013,16,24,9,9,0,h2
2014,43,52,9,21,0,h2,,2014,37,49,7,13,0,h2
2015,78,34,21,23,3,h2,,2015,75,33,26,20,7,h2
2016,42,56,3,29,0,h2,,2016,36,57,3,20,0,h2
2017,42,53,4,34,0,h2,,2017,39,55,4,33,0,h2
2018,27,15,3,3,0,h2,,2018,19,21,2,4,0,h2
2019,50,63,2,34,0,h2,,2019,44,67,3,31,0,h2
2020,95,30,12,20,11,h2,,2020,85,28,13,17,13,h2
2021,71,24,12,16,4,h2,,2021,66,17,11,9,2,h2
2022,25,34,8,8,0,h2,,2022,25,32,7,8,0,h2
1981,16,11,14,2,2,h3,,1981,17,12,14,2,2,h3
1982,11,10,12,2,0,h3,,1982,9,8,17,2,0,h3
1983,11,14,19,2,0,h3,,1983,11,12,17,3,0,h3
1984,8,10,9,3,0,h3,,1984,9,9,9,3,0,h3
1985,7,15,1,3,0,h3,,1985,5,16,4,3,0,h3
1986,18,3,13,1,0,h3,,1986,16,3,9,1,0,h3
1987,17,16,11,5,0,h3,,1987,18,17,13,6,0,h3
1988,9,20,7,2,0,h3,,1988,9,19,8,2,0,h3
1989,7,12,22,1,1,h3,,1989,7,12,24,2,1,h3
1990,10,29,3,8,0,h3,,1990,9,27,4,8,0,h3
1991,9,18,10,2,0,h3,,1991,9,16,9,2,0,h3
1992,14,5,23,2,3,h3,,1992,14,5,22,2,2,h3
1993,5,10,12,1,0,h3,,1993,5,10,10,2,0,h3
1994,14,35,12,4,0,h3,,1994,12,38,15,4,0,h3
1995,3,9,17,0,0,h3,,1995,3,9,17,0,0,h3
1996,4,14,14,0,0,h3,,1996,7,17,15,1,0,h3
1997,40,7,32,6,6,h3,,1997,40,7,33,5,8,h3
1998,22,25,6,11,0,h3,,1998,26,23,5,12,0,h3
1999,27,7,14,5,3,h3,,1999,22,12,14,5,2,h3
2000,15,11,12,2,3,h3,,2000,17,10,11,1,2,h3
2001,24,8,17,3,4,h3,,2001,23,11,15,4,3,h3
2002,31,18,19,14,2,h3,,2002,32,17,23,13,2,h3
2003,4,21,14,3,0,h3,,2003,4,19,12,3,0,h3
2004,8,11,19,2,0,h3,,2004,6,7,18,2,0,h3
2005,21,10,16,4,1,h3,,2005,21,13,16,4,0,h3
2006,14,14,14,4,1,h3,,2006,14,17,13,5,1,h3
2007,21,12,16,4,1,h3,,2007,19,11,16,4,1,h3
2008,12,10,10,3,0,h3,,2008,14,10,11,4,0,h3
2009,24,13,35,1,12,h3,,2009,24,12,31,1,11,h3
2010,20,10,14,6,1,h3,,2010,22,10,13,6,1,h3
2011,16,5,21,2,0,h3,,2011,13,3,16,2,0,h3
2012,22,8,24,4,2,h3,,2012,22,10,24,4,3,h3
2013,23,32,14,10,1,h3,,2013,24,33,10,13,0,h3
2014,16,9,25,0,6,h3,,2014,16,7,24,0,5,h3
2015,21,4,25,0,6,h3,,2015,18,4,21,0,3,h3
2016,17,21,20,10,0,h3,,2016,17,23,20,11,0,h3
2017,43,12,11,8,0,h3,,2017,45,14,11,10,0,h3
2018,30,23,15,10,4,h3,,2018,29,26,14,13,2,h3
2019,44,6,26,2,8,h3,,2019,44,6,24,3,6,h3
2020,19,12,12,3,3,h3,,2020,21,10,16,6,2,h3
2021,15,19,18,4,3,h3,,2021,15,22,16,6,3,h3
2022,27,22,11,8,1,h3,,2022,30,24,14,10,1,h3
1981,7,18,20,4,0,h4_1,,1981,9,18,18,5,0,h4_1
1982,4,14,20,3,0,h4_1,,1982,5,14,21,3,0,h4_1
1983,10,13,17,2,0,h4_1,,1983,13,11,15,2,0,h4_1
1984,6,16,8,2,0,h4_1,,1984,6,16,8,2,0,h4_1
1985,7,16,2,5,0,h4_1,,1985,4,17,3,3,0,h4_1
1986,6,6,13,3,1,h4_1,,1986,8,5,14,3,1,h4_1
1987,14,24,26,9,0,h4_1,,1987,15,24,27,9,0,h4_1
1988,19,11,15,6,1,h4_1,,1988,21,10,13,5,1,h4_1
1989,11,17,17,9,0,h4_1,,1989,10,17,17,8,0,h4_1
1990,20,17,10,6,2,h4_1,,1990,20,15,14,6,2,h4_1
1991,14,25,13,7,0,h4_1,,1991,15,23,11,8,0,h4_1
1992,12,10,21,3,0,h4_1,,1992,10,10,23,3,0,h4_1
1993,9,22,19,6,0,h4_1,,1993,8,21,20,4,0,h4_1
1994,18,18,23,7,0,h4_1,,1994,18,19,19,8,0,h4_1
1995,21,9,28,6,5,h4_1,,1995,16,9,27,5,1,h4_1
1996,5,11,11,3,0,h4_1,,1996,6,9,10,3,0,h4_1
1997,13,13,25,7,0,h4_1,,1997,13,15,24,7,0,h4_1
1998,13,20,11,4,0,h4_1,,1998,16,22,8,7,0,h4_1
1999,6,17,11,5,0,h4_1,,1999,9,16,13,5,0,h4_1
2000,9,13,11,2,0,h4_1,,2000,10,14,13,3,0,h4_1
2001,7,8,4,2,0,h4_1,,2001,10,9,3,5,0,h4_1
2002,9,15,8,4,0,h4_1,,2002,10,14,9,5,0,h4_1
2003,31,12,11,3,0,h4_1,,2003,32,12,10,3,0,h4_1
2004,19,6,33,3,8,h4_1,,2004,16,6,28,3,5,h4_1
2005,32,5,12,2,2,h4_1,,2005,27,4,14,1,2,h4_1
2006,18,11,14,2,0,h4_1,,2006,18,14,13,2,0,h4_1
2007,25,15,5,6,1,h4_1,,2007,24,17,5,6,3,h4_1
2008,23,19,15,8,2,h4_1,,2008,21,20,14,8,0,h4_1
2009,27,16,11,6,4,h4_1,,2009,23,16,12,6,3,h4_1
2010,24,21,7,7,0,h4_1,,2010,23,20,8,7,0,h4_1
2011,29,14,23,6,2,h4_1,,2011,27,16,21,7,0,h4_1
2012,8,8,9,0,0,h4_1,,2012,8,9,13,0,0,h4_1
2013,42,14,33,7,18,h4_1,,2013,41,16,34,6,20,h4_1
2014,6,11,11,2,0,h4_1,,2014,6,12,12,3,0,h4_1
2015,5,13,17,3,0,h4_1,,2015,5,12,17,3,1,h4_1
2016,24,22,12,11,0,h4_1,,2016,24,20,10,9,1,h4_1
2017,28,10,9,5,5,h4_1,,2017,30,12,9,8,4,h4_1
2018,15,27,5,8,0,h4_1,,2018,16,29,9,9,0,h4_1
2019,5,15,25,3,0,h4_1,,2019,5,11,23,2,0,h4_1
2020,17,21,9,10,1,h4_1,,2020,22,22,10,10,1,h4_1
2021,14,32,2,8,0,h4_1,,2021,17,30,3,9,0,h4_1
2022,29,11,9,3,4,h4_1,,2022,31,13,6,5,2,h4_1
1981,8,17,24,3,0,h4_2,,1981,8,17,23,4,0,h4_2
1982,4,14,21,3,0,h4_2,,1982,5,11,20,2,0,h4_2
1983,11,9,17,2,0,h4_2,,1983,15,9,15,2,0,h4_2
1984,6,15,8,2,0,h4_2,,1984,5,15,9,1,0,h4_2
1985,5,16,1,4,0,h4_2,,1985,7,15,1,5,0,h4_2
1986,7,7,12,3,0,h4_2,,1986,7,8,11,3,0,h4_2
1987,14,21,30,9,0,h4_2,,1987,15,21,30,9,0,h4_2
1988,19,15,16,8,2,h4_2,,1988,21,11,16,5,2,h4_2
1989,12,14,20,10,0,h4_2,,1989,11,15,20,9,0,h4_2
1990,20,19,10,8,1,h4_2,,1990,21,20,13,8,1,h4_2
1991,14,26,13,6,0,h4_2,,1991,14,25,12,6,0,h4_2
1992,12,9,21,2,0,h4_2,,1992,11,9,22,2,0,h4_2
1993,9,19,22,7,0,h4_2,,1993,8,17,22,5,0,h4_2
1994,18,17,20,8,0,h4_2,,1994,19,18,20,8,0,h4_2
1995,21,11,29,5,6,h4_2,,1995,17,11,27,5,1,h4_2
1996,5,7,8,3,0,h4_2,,1996,5,11,9,3,0,h4_2
1997,12,13,22,6,0,h4_2,,1997,13,14,23,6,0,h4_2
1998,13,22,11,6,0,h4_2,,1998,15,19,11,6,0,h4_2
1999,7,17,13,6,0,h4_2,,1999,8,15,14,6,0,h4_2
2000,8,13,12,1,0,h4_2,,2000,10,12,17,2,0,h4_2
2001,10,9,4,6,0,h4_2,,2001,12,9,4,6,0,h4_2
2002,9,16,7,4,0,h4_2,,2002,9,16,9,4,0,h4_2
2003,31,14,9,6,0,h4_2,,2003,28,16,11,5,0,h4_2
2004,21,6,24,4,6,h4_2,,2004,16,6,23,4,3,h4_2
2005,33,5,11,2,1,h4_2,,2005,30,6,11,3,1,h4_2
2006,19,13,12,4,0,h4_2,,2006,18,16,11,6,0,h4_2
2007,26,18,3,8,0,h4_2,,2007,24,18,3,7,1,h4_2
2008,23,20,15,9,2,h4_2,,2008,20,21,15,9,0,h4_2
2009,23,16,13,4,3,h4_2,,2009,23,16,12,7,3,h4_2
2010,24,19,7,6,0,h4_2,,2010,24,20,7,6,0,h4_2
2011,27,14,24,7,3,h4_2,,2011,26,16,25,7,2,h4_2
2012,9,11,12,2,0,h4_2,,2012,9,12,12,2,0,h4_2
2013,44,11,34,5,19,h4_2,,2013,43,16,33,5,18,h4_2
2014,7,12,13,2,0,h4_2,,2014,7,12,12,2,0,h4_2
2015,5,11,18,3,0,h4_2,,2015,5,10,18,3,0,h4_2
2016,23,20,13,10,0,h4_2,,2016,22,19,13,7,0,h4_2
2017,26,9,4,4,0,h4_2,,2017,24,14,5,7,1,h4_2
2018,15,27,4,9,0,h4_2,,2018,15,27,7,10,0,h4_2
2019,4,15,26,3,0,h4_2,,2019,8,12,25,3,0,h4_2
2020,16,21,11,9,2,h4_2,,2020,19,22,11,9,1,h4_2
2021,13,28,2,7,0,h4_2,,2021,16,30,4,8,0,h4_2
2022,31,16,7,7,1,h4_2,,2022,31,19,4,8,1,h4_2
1981,11,16,22,6,0,h5,,1981,14,14,24,7,0,h5
1982,7,9,19,5,0,h5,,1982,8,9,22,5,0,h5
1983,12,10,15,3,0,h5,,1983,13,9,14,3,0,h5
1984,9,14,9,6,0,h5,,1984,9,12,12,4,0,h5
1985,5,17,3,4,0,h5,,1985,5,18,2,5,0,h5
1986,11,5,14,2,0,h5,,1986,12,6,14,3,0,h5
1987,8,17,29,5,0,h5,,1987,8,19,29,5,0,h5
1988,23,17,12,12,0,h5,,1988,23,17,11,12,0,h5
1989,7,14,17,7,0,h5,,1989,7,14,18,7,0,h5
1990,24,25,7,13,0,h5,,1990,22,26,7,12,0,h5
1991,8,17,16,5,0,h5,,1991,7,18,15,4,0,h5
1992,11,6,20,3,0,h5,,1992,12,6,20,3,0,h5
1993,7,11,23,5,0,h5,,1993,7,12,23,6,0,h5
1994,26,22,9,13,0,h5,,1994,26,18,8,11,0,h5
1995,16,14,15,7,0,h5,,1995,15,14,14,6,0,h5
1996,5,13,13,3,0,h5,,1996,6,15,12,4,0,h5
1997,11,12,27,5,0,h5,,1997,11,12,29,5,0,h5
1998,13,20,4,7,0,h5,,1998,15,21,5,9,0,h5
1999,12,16,20,11,0,h5,,1999,13,16,18,11,0,h5
2000,14,10,11,2,0,h5,,2000,15,11,11,3,0,h5
2001,21,2,14,1,0,h5,,2001,21,1,14,0,0,h5
2002,17,16,15,10,0,h5,,2002,16,16,14,10,0,h5
2003,18,21,11,10,0,h5,,2003,19,23,12,11,0,h5
2004,11,7,13,1,0,h5,,2004,10,6,12,0,0,h5
2005,32,18,17,11,1,h5,,2005,35,18,17,10,1,h5
2006,24,10,16,2,0,h5,,2006,25,11,17,3,0,h5
2007,16,17,7,6,0,h5,,2007,15,16,7,6,0,h5
2008,18,18,12,8,0,h5,,2008,19,17,13,8,0,h5
2009,25,16,12,10,0,h5,,2009,24,16,12,9,0,h5
2010,19,17,6,11,0,h5,,2010,19,19,4,12,0,h5
2011,15,20,29,8,0,h5,,2011,16,19,30,8,0,h5
2012,14,10,18,3,0,h5,,2012,15,9,18,3,0,h5
2013,29,12,11,7,0,h5,,2013,30,13,11,6,0,h5
2014,7,10,15,3,0,h5,,2014,7,11,13,3,0,h5
2015,0,6,15,0,0,h5,,2015,1,6,12,1,0,h5
2016,16,19,11,9,0,h5,,2016,18,20,13,11,0,h5
2017,15,16,6,5,0,h5,,2017,16,17,5,6,0,h5
2018,10,20,3,6,0,h5,,2018,9,24,3,7,0,h5
2019,26,9,25,2,1,h5,,2019,25,9,24,3,1,h5
2020,21,20,15,8,0,h5,,2020,19,20,15,8,0,h5
2021,19,22,5,9,0,h5,,2021,21,22,6,11,0,h5
2022,39,14,11,7,0,h5,,2022,43,15,12,8,0,h5
1981,18,19,13,3,0,h6,,1981,18,18,14,5,0,h6
1982,3,11,13,2,0,h6,,1982,3,10,14,1,0,h6
1983,10,22,14,5,1,h6,,1983,11,23,14,5,2,h6
1984,9,12,16,1,0,h6,,1984,10,12,15,1,0,h6
1985,16,21,9,7,4,h6,,1985,15,24,8,6,3,h6
1986,9,12,16,1,0,h6,,1986,10,15,15,1,0,h6
1987,10,15,19,6,0,h6,,1987,9,16,19,6,0,h6
1988,17,16,12,7,0,h6,,1988,16,16,9,6,0,h6
1989,13,10,17,4,0,h6,,1989,12,10,16,4,0,h6
1990,6,15,18,0,0,h6,,1990,7,16,18,0,0,h6
1991,16,18,13,5,0,h6,,1991,16,21,12,6,0,h6
1992,7,3,23,0,0,h6,,1992,8,3,24,0,0,h6
1993,3,15,13,1,0,h6,,1993,3,17,13,2,0,h6
1994,10,33,9,7,0,h6,,1994,10,31,7,7,0,h6
1995,20,11,18,3,0,h6,,1995,19,8,18,3,0,h6
1996,3,19,6,2,0,h6,,1996,3,22,5,2,0,h6
1997,4,17,23,1,0,h6,,1997,4,16,25,2,0,h6
1998,21,17,12,4,1,h6,,1998,22,16,13,3,1,h6
1999,8,32,9,6,0,h6,,1999,8,31,9,6,0,h6
2000,19,6,19,2,2,h6,,2000,19,6,19,2,2,h6
2001,6,8,6,1,0,h6,,2001,6,7,6,1,0,h6
2002,10,16,17,4,0,h6,,2002,9,15,18,5,0,h6
2003,20,9,13,2,3,h6,,2003,21,8,14,2,3,h6
2004,13,13,13,4,0,h6,,2004,13,15,13,5,0,h6
2005,28,13,24,8,4,h6,,2005,30,13,23,9,4,h6
2006,20,12,16,2,0,h6,,2006,16,13,15,1,0,h6
2007,45,14,24,7,15,h6,,2007,42,11,26,5,14,h6
2008,22,3,16,0,2,h6,,2008,23,6,14,3,2,h6
2009,25,16,8,6,0,h6,,2009,25,18,8,6,0,h6
2010,24,14,15,3,3,h6,,2010,25,13,16,2,3,h6
2011,16,8,28,2,3,h6,,2011,17,10,27,3,3,h6
2012,15,18,18,5,0,h6,,2012,17,19,20,6,0,h6
2013,29,17,44,6,12,h6,,2013,31,18,45,8,12,h6
2014,11,36,7,9,0,h6,,2014,11,32,7,8,0,h6
2015,8,24,13,4,0,h6,,2015,8,23,13,3,0,h6
2016,22,26,22,4,0,h6,,2016,23,26,22,4,0,h6
2017,21,8,8,3,0,h6,,2017,21,10,8,5,0,h6
2018,15,39,7,8,0,h6,,2018,15,35,7,8,0,h6
2019,27,27,25,4,2,h6,,2019,27,27,25,4,3,h6
2020,15,21,2,7,0,h6,,2020,14,19,2,8,0,h6
2021,53,18,8,6,2,h6,,2021,53,16,7,5,2,h6
2022,31,13,21,0,1,h6,,2022,32,13,21,0,1,h6
1981,11,19,14,2,0,h7,,1981,12,21,15,4,0,h7
1982,6,10,13,2,0,h7,,1982,7,8,15,3,0,h7
1983,4,13,10,0,1,h7,,1983,4,14,12,0,0,h7
1984,4,13,10,0,0,h7,,1984,5,15,10,0,0,h7
1985,3,12,6,0,0,h7,,1985,2,12,7,0,0,h7
1986,10,4,14,0,1,h7,,1986,9,3,16,0,0,h7
1987,17,8,22,2,5,h7,,1987,18,9,24,2,6,h7
1988,2,29,6,0,0,h7,,1988,1,28,5,0,0,h7
1989,7,18,35,0,0,h7,,1989,5,19,35,0,0,h7
1990,3,18,4,0,0,h7,,1990,3,17,5,0,0,h7
1991,26,20,7,2,0,h7,,1991,27,19,8,1,0,h7
1992,6,13,5,0,0,h7,,1992,6,15,5,0,0,h7
1993,7,3,14,0,0,h7,,1993,6,3,15,0,0,h7
1994,13,22,11,3,0,h7,,1994,12,24,10,3,0,h7
